epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.5763,2.20798,4.12752,1.18724,0.74798,0.40228,0.43536,0.19233,2.31784,6.45457,1.14796,0.000664889,0.000664889,0.000664889
2,140.583,2.07844,2.40276,1.15731,0.79239,0.42919,0.47457,0.22509,2.47349,3.82372,1.17262,0.00130519,0.00130519,0.00130519
3,209.053,2.03244,1.86639,1.16043,0.78697,0.44138,0.48263,0.24945,2.2647,2.98815,1.12066,0.00191909,0.00191909,0.00191909
4,278.314,2.02001,1.65409,1.18296,0.8348,0.43126,0.47987,0.22957,2.38767,3.44748,1.14912,0.0018812,0.0018812,0.0018812
5,348.987,1.9867,1.5422,1.12381,0.83378,0.4759,0.54559,0.2743,2.28199,2.0288,1.10455,0.0018416,0.0018416,0.0018416
6,420.897,1.89002,1.41537,1.12197,0.8416,0.48193,0.55378,0.28884,2.31384,2.07244,1.09861,0.001802,0.001802,0.001802
7,490.934,1.89513,1.43352,1.09682,0.74012,0.53757,0.55338,0.26598,2.16171,2.06299,1.07308,0.0017624,0.0017624,0.0017624
8,561.38,1.89471,1.34597,1.09931,0.75491,0.51205,0.56954,0.30209,2.12422,1.82591,1.05515,0.0017228,0.0017228,0.0017228
9,632.123,1.78406,1.27353,1.06906,0.79253,0.5492,0.60022,0.30941,2.18459,1.91504,1.08677,0.0016832,0.0016832,0.0016832
10,703.263,1.79746,1.2783,1.06869,0.79547,0.52716,0.57522,0.30498,2.1904,1.69463,1.05949,0.0016436,0.0016436,0.0016436
11,774.981,1.77571,1.27391,1.06468,0.81264,0.56426,0.62025,0.33161,2.12017,2.22902,1.07178,0.001604,0.001604,0.001604
12,848.161,1.7232,1.18256,1.05463,0.8296,0.57678,0.65089,0.33922,2.06194,1.66535,1.04603,0.0015644,0.0015644,0.0015644
13,919.756,1.73371,1.18632,1.05692,0.84193,0.60743,0.66291,0.3492,2.02168,1.62363,1.04618,0.0015248,0.0015248,0.0015248
14,993.902,1.71069,1.16237,1.05465,0.82775,0.59839,0.66132,0.37262,1.9962,1.46092,1.01799,0.0014852,0.0014852,0.0014852
15,1066.38,1.68182,1.14787,1.04482,0.83406,0.59036,0.65856,0.33463,2.10988,1.84799,1.05228,0.0014456,0.0014456,0.0014456
16,1138.8,1.69583,1.12236,1.0352,0.8196,0.61124,0.67625,0.35903,1.96036,1.49766,1.03688,0.001406,0.001406,0.001406
17,1211.14,1.67843,1.14842,1.0468,0.87271,0.58032,0.63892,0.34915,2.09219,2.7925,1.03247,0.0013664,0.0013664,0.0013664
